ensembl_gene_id	entrezgene_id	external_gene_name
ENSG00000235263	NA	
ENSG00000235643	101929181	LINC01647
ENSG00000235829	NA	TBCAP2
ENSG00000236045	NA	
ENSG00000236179	NA	PRAMEF35P
ENSG00000236266	NA	
ENSG00000236423	100133612	LINC01134
ENSG00000236601	NA	
ENSG00000236679	NA	RPL23AP24
ENSG00000236948	NA	
ENSG00000237058	NA	MMEL1-AS1
ENSG00000237094	NA	
ENSG00000237330	401934	RNF223
ENSG00000237365	NA	
ENSG00000237402	NA	CAMTA1-IT1
ENSG00000237436	NA	CAMTA1-DT
ENSG00000237445	NA	
ENSG00000237491	105378580	LINC01409
ENSG00000237613	645520	FAM138A
ENSG00000237700	645382	PRAMEF33
ENSG00000237728	102725193	CAMTA1-AS2
ENSG00000237973	NA	MTCO1P12
ENSG00000238009	NA	
ENSG00000238164	NA	TNFRSF14-AS1
ENSG00000238173	NA	RPL39P6
ENSG00000238199	NA	UBE2V2P3
ENSG00000238249	NA	HMGN2P17
ENSG00000238260	NA	
ENSG00000238290	NA	
ENSG00000239149	677882	SNORA59A
ENSG00000239149	677885	SNORA59A
ENSG00000239810	440560	PRAMEF11
ENSG00000239906	NA	
ENSG00000239945	NA	
ENSG00000240361	NA	OR4G11P
ENSG00000240409	NA	MTATP8P1
ENSG00000240731	NA	
ENSG00000241180	NA	
ENSG00000241326	NA	
ENSG00000241563	1325	CORT
ENSG00000241599	NA	
ENSG00000241860	NA	
ENSG00000242485	55052	MRPL20
ENSG00000242590	NA	
ENSG00000243073	400735	PRAMEF4
ENSG00000243267	NA	RN7SL614P
ENSG00000243485	NA	MIR1302-2HG
ENSG00000243539	NA	RN7SL649P
ENSG00000248333	984	CDK11B
ENSG00000248527	NA	MTATP6P1
ENSG00000250575	NA	
ENSG00000250894	NA	PRAMEF31P
ENSG00000251503	100526739	CENPS-CORT
ENSG00000251866	107397391	SCARNA21B
ENSG00000251977	NA	RNU6-991P
ENSG00000252151	NA	RNU6-1265P
ENSG00000252254	NA	Y_RNA
ENSG00000252404	NA	
ENSG00000252956	NA	RNA5SP40
ENSG00000252969	NA	SNORA70
ENSG00000253022	NA	RNU6-731P
ENSG00000253085	NA	
ENSG00000253086	NA	RNU6-537P
ENSG00000259961	NA	
ENSG00000260179	NA	
ENSG00000260972	NA	
ENSG00000263676	100616438	MIR4632
ENSG00000264101	100616421	MIR4689
ENSG00000264293	NA	RN7SL657P
ENSG00000264341	NA	
ENSG00000264501	NA	RN7SL731P
ENSG00000264881	NA	
ENSG00000265141	NA	RN7SL451P
ENSG00000265392	100422975	MIR4252
ENSG00000265521	100847055	MIR5697
ENSG00000266075	NA	RN7SL574P
ENSG00000268020	NA	OR4G4P
ENSG00000268575	NA	
ENSG00000268663	NA	WBP1LP6
ENSG00000268903	NA	
ENSG00000269732	NA	WBP1LP7
ENSG00000269737	NA	
ENSG00000269896	100129534	
ENSG00000269925	NA	
ENSG00000269978	NA	
ENSG00000269981	NA	
ENSG00000270035	NA	
ENSG00000270171	NA	
ENSG00000270282	NA	
ENSG00000270330	NA	
ENSG00000270601	343068	PRAMEF5
ENSG00000270914	NA	
ENSG00000271264	NA	MZT1P1
ENSG00000271746	NA	
ENSG00000271806	NA	
ENSG00000271989	NA	
ENSG00000272004	NA	
ENSG00000272078	NA	
ENSG00000272088	NA	
ENSG00000272106	NA	
ENSG00000272141	NA	
ENSG00000272153	NA	
ENSG00000272161	NA	
ENSG00000272235	NA	
ENSG00000272420	NA	
ENSG00000272438	NA	
ENSG00000272449	NA	
ENSG00000272455	NA	MRPL20-DT
ENSG00000272482	NA	
ENSG00000272510	NA	
ENSG00000272512	NA	
ENSG00000273443	NA	
ENSG00000273874	102465909	MIR6859-2
ENSG00000274178	NA	PRAMEF28P
ENSG00000274258	102465436	MIR6728
ENSG00000274481	NA	
ENSG00000274764	101929983	PRAMEF27
ENSG00000275774	440563	HNRNPCL2
ENSG00000275915	NA	
ENSG00000276189	NA	
ENSG00000276470	NA	
ENSG00000276830	102466722	MIR6730
ENSG00000276869	102466982	MIR6729
ENSG00000277058	649330	HNRNPCL3
ENSG00000277862	NA	PRAMEF34P
ENSG00000278073	102465434	MIR6726
ENSG00000278267	102466751	MIR6859-1
ENSG00000278480	NA	ZBTB2P1
ENSG00000278757	NA	U6
ENSG00000278791	NA	
ENSG00000278852	NA	
ENSG00000279169	400736	PRAMEF13
ENSG00000279457	102723897	WASH9P
ENSG00000279804	391003	PRAMEF18
ENSG00000279839	NA	
ENSG00000279928	NA	DDX11L17
ENSG00000280113	NA	
ENSG00000004455	204	AK2
ENSG00000010803	22955	SCMH1
ENSG00000020129	23154	NCDN
ENSG00000025800	23633	KPNA6
ENSG00000043514	54802	TRIT1
ENSG00000044012	2981	GUCA2B
ENSG00000049089	1298	COL9A2
ENSG00000054116	27095	TRAPPC3
ENSG00000054118	9967	THRAP3
ENSG00000060688	9410	SNRNP40
ENSG00000065978	4904	YBX1
ENSG00000066056	7075	TIE1
ENSG00000066135	9682	KDM4A
ENSG00000066136	4802	NFYC
ENSG00000066185	84217	ZMYND12
ENSG00000066322	64834	ELOVL1
ENSG00000070759	10420	TESK2
ENSG00000070785	8891	EIF2B3
ENSG00000084070	64744	SMAP2
ENSG00000084072	10450	PPIE
ENSG00000084073	10269	ZMPSTE24
ENSG00000084623	8668	EIF3I
ENSG00000084628	79570	NKAIN1
ENSG00000084636	1307	COL16A1
ENSG00000084652	200081	TXLNA
ENSG00000085998	55624	POMGNT1
ENSG00000085999	8438	RAD54L
ENSG00000086015	23139	MAST2
ENSG00000090621	8761	PABPC4
ENSG00000092847	26523	AGO1
ENSG00000092850	27285	TEKT2
ENSG00000092853	63967	CLSPN
ENSG00000116478	3065	HDAC1
ENSG00000116497	64766	S100PBP
ENSG00000116514	127544	RNF19B
ENSG00000116525	55223	TRIM62
ENSG00000116544	58512	DLGAP3
ENSG00000116560	6421	SFPQ
ENSG00000116786	23207	PLEKHM2
ENSG00000116809	7709	ZBTB17
ENSG00000116819	339488	TFAP2E
ENSG00000116863	54936	ADPRS
ENSG00000116871	55700	MAP7D1
ENSG00000116885	127700	OSCP1
ENSG00000116898	64960	MRPS15
ENSG00000116922	54955	C1orf109
ENSG00000116954	64121	RRAGC
ENSG00000116981	84618	NT5C1A
ENSG00000116983	51440	HPCAL4
ENSG00000116985	656	BMP8B
ENSG00000116990	4610	MYCL
ENSG00000117000	6018	RLF
ENSG00000117010	127396	ZNF684
ENSG00000117013	9132	KCNQ4
ENSG00000117016	9783	RIMS3
ENSG00000117115	11240	PADI2
ENSG00000117118	6390	SDHB
ENSG00000117122	4237	MFAP2
ENSG00000117148	81569	ACTL8
ENSG00000117154	84966	IGSF21
ENSG00000117215	26279	PLA2G2D
ENSG00000117242	100861548	PINK1-AS
ENSG00000117245	57576	KIF17
ENSG00000117298	1889	ECE1
ENSG00000117305	3155	HMGCL
ENSG00000117308	2582	GALE
ENSG00000117318	3399	ID3
ENSG00000117385	64175	P3H1
ENSG00000117394	6513	SLC2A1
ENSG00000117395	10969	EBNA1BP2
ENSG00000117399	991	CDC20
ENSG00000117400	4352	MPL
ENSG00000117407	9048	ARTN
ENSG00000117408	9670	IPO13
ENSG00000117410	533	ATP6V0B
ENSG00000117411	8704	B4GALT2
ENSG00000117419	79033	ERI3
ENSG00000117425	8643	PTCH2
ENSG00000117448	10327	AKR1A1
ENSG00000117450	5052	PRDX1
ENSG00000117461	8503	PIK3R3
ENSG00000117472	10103	TSPAN1
ENSG00000117480	2166	FAAH
ENSG00000117481	387338	NSUN4
ENSG00000117602	11123	RCAN3
ENSG00000117614	25949	SYF2
ENSG00000117616	57035	RSRP1
ENSG00000117632	3925	STMN1
ENSG00000117640	56181	MTFR1L
ENSG00000117643	57134	MAN1C1
ENSG00000117676	6195	RPS6KA1
ENSG00000117682	79947	DHDDS
ENSG00000117713	8289	ARID1A
ENSG00000117748	6118	RPA2
ENSG00000117751	5511	PPP1R8
ENSG00000117758	23673	STX12
ENSG00000120656	6883	TAF12
ENSG00000125944	10236	HNRNPR
ENSG00000125945	80818	ZNF436
ENSG00000126698	22826	DNAJC8
ENSG00000126705	27245	AHDC1
ENSG00000126709	2537	IFI6
ENSG00000127423	79000	AUNIP
ENSG00000127463	23065	EMC1
ENSG00000127472	5322	PLA2G5
ENSG00000127481	23352	UBR4
ENSG00000127483	50809	HP1BP3
ENSG00000130695	64793	CEP85
ENSG00000130766	83667	SESN2
ENSG00000130768	27293	SMPDL3B
ENSG00000130770	93974	ATP5IF1
ENSG00000130772	54797	MED18
ENSG00000130775	9473	THEMIS2
ENSG00000131910	8431	NR0B2
ENSG00000131914	79727	LIN28A
ENSG00000132881	79363	CPLANE2
ENSG00000133216	2048	EPHB2
ENSG00000133226	10250	SRRM1
ENSG00000142619	51702	PADI3
ENSG00000142623	29943	PADI1
ENSG00000142627	1969	EPHA2
ENSG00000142632	128272	ARHGEF19
ENSG00000142661	127294	MYOM3
ENSG00000142669	83442	SH3BGRL3
ENSG00000142675	10256	CNKSR1
ENSG00000142676	6135	RPL11
ENSG00000142677	58985	IL22RA1
ENSG00000142684	51042	ZNF593
ENSG00000142733	9064	MAP3K6
ENSG00000142748	8547	FCN3
ENSG00000142751	54707	GPN2
ENSG00000142765	84958	SYTL1
ENSG00000142784	23038	WDTC1
ENSG00000142789	10136	CELA3A
ENSG00000142794	84224	NBPF3
ENSG00000142798	3339	HSPG2
ENSG00000157191	55707	NECAP2
ENSG00000157978	26119	LDLRAP1
ENSG00000158006	5051	PAFAH2
ENSG00000158008	2134	EXTL1
ENSG00000158014	7780	SLC30A2
ENSG00000158022	84676	TRIM63
ENSG00000158055	57822	GRHL3
ENSG00000158062	91544	UBXN11
ENSG00000158156	55113	XKR8
ENSG00000158161	2140	EYA3
ENSG00000158195	10163	WASF2
ENSG00000158246	115572	TENT5B
ENSG00000158747	4681	NBL1
ENSG00000158747	100532736	NBL1
ENSG00000158748	3362	HTR6
ENSG00000158786	64600	PLA2G2F
ENSG00000158816	127731	VWA5B1
ENSG00000158825	978	CDA
ENSG00000158828	65018	PINK1
ENSG00000159023	2035	EPB41
ENSG00000159189	714	C1QC
ENSG00000159339	23569	PADI4
ENSG00000159363	23400	ATP13A2
ENSG00000159423	8659	ALDH4A1
ENSG00000162419	10691	GMEB1
ENSG00000162430	57190	SELENON
ENSG00000162458	54751	FBLIM1
ENSG00000162460	388595	TMEM82
ENSG00000162461	284723	SLC25A34
ENSG00000162482	22977	AKR7A3
ENSG00000162542	255104	TMCO4
ENSG00000162543	127733	UBXN10
ENSG00000162545	55450	CAMK2N1
ENSG00000162551	249	ALPL
ENSG00000162552	54361	WNT4
ENSG00000169403	5724	PTAFR
ENSG00000169442	1043	CD52
ENSG00000169504	25932	CLIC4
ENSG00000169641	7798	LUZP1
ENSG00000169914	23252	OTUD3
ENSG00000169991	126917	IFFO2
ENSG00000172746	NA	RPL12P13
ENSG00000173369	713	C1QB
ENSG00000173372	712	C1QA
ENSG00000173436	440574	MICOS10
ENSG00000173641	27129	HSPB7
ENSG00000174950	388611	CD164L2
ENSG00000175087	149420	PDIK1L
ENSG00000175707	126695	KDF1
ENSG00000175793	2810	SFN
ENSG00000176083	257101	ZNF683
ENSG00000176092	55057	CRYBG2
ENSG00000176378	NA	PFN1P10
ENSG00000178715	NA	
ENSG00000178828	54546	RNF186
ENSG00000179002	80834	TAS1R2
ENSG00000179023	127707	KLHDC7A
ENSG00000179051	55920	RCC2
ENSG00000179163	2517	FUCA1
ENSG00000179546	3352	HTR1D
ENSG00000179743	729614	FLJ37453
ENSG00000180098	54952	TRNAU1AP
ENSG00000180198	1104	RCC1
ENSG00000181773	2827	GPR3
ENSG00000182749	164091	PAQR7
ENSG00000183114	163933	FAM43B
ENSG00000183726	23585	TMEM50A
ENSG00000183888	149563	SRARP
ENSG00000184454	400746	NCMAP
ENSG00000184677	9923	ZBTB40
ENSG00000184908	1188	CLCNKB
ENSG00000185436	163702	IFNLR1
ENSG00000185519	348487	FAM131C
ENSG00000186301	NA	MST1P2
ENSG00000186501	84065	TMEM222
ENSG00000186510	1187	CLCNKA
ENSG00000186543	NA	CROCCP5
ENSG00000186715	11223	MST1L
ENSG00000187010	6007	RHD
ENSG00000187144	374955	SPATA21
ENSG00000187942	401944	LDLRAD2
ENSG00000187952	NA	HS6ST1P1
ENSG00000187980	391013	PLA2G2C
ENSG00000188060	115273	RAB42
ENSG00000188257	5320	PLA2G2A
ENSG00000188529	10772	SRSF10
ENSG00000188672	6006	RHCE
ENSG00000188782	378807	CATSPER4
ENSG00000188784	30814	PLA2G2E
ENSG00000188822	1269	CNR2
ENSG00000189266	55629	PNRC2
ENSG00000189410	400745	SH2D5
ENSG00000197245	79927	FAM110D
ENSG00000197312	84301	DDI2
ENSG00000197880	259283	MDS2
ENSG00000197989	85028	SNHG12
ENSG00000198492	51441	YTHDF2
ENSG00000198746	63906	GPATCH3
ENSG00000198830	3151	HMGN2
ENSG00000199756	NA	Y_RNA
ENSG00000200087	26768	SNORA73B
ENSG00000200403	NA	RNU6-1099P
ENSG00000201273	NA	RNU6-776P
ENSG00000201405	NA	Y_RNA
ENSG00000201609	NA	RNU4-28P
ENSG00000201919	NA	RNU6-1022P
ENSG00000204138	65979	PHACTR4
ENSG00000204160	84243	ZDHHC18
ENSG00000204178	55219	MACO1
ENSG00000204219	6920	TCEA3
ENSG00000204362	400743	LINC02783
ENSG00000206652	26871	RNU1-1
ENSG00000206704	NA	Y_RNA
ENSG00000206767	NA	RNU6-949P
ENSG00000206779	NA	Y_RNA
ENSG00000206888	NA	RNU6-48P
ENSG00000206935	NA	RNU6-514P
ENSG00000207005	26870	RNU1-2
ENSG00000207095	NA	RNU6-424P
ENSG00000207237	NA	RNU6-110P
ENSG00000207302	NA	Y_RNA
ENSG00000207389	6060	RNU1-4
ENSG00000207513	26869	RNU1-3
ENSG00000211454	NA	AKR7L
ENSG00000214812	NA	
ENSG00000214973	NA	CHCHD3P3
ENSG00000215381	NA	
ENSG00000215520	NA	RPS4XP4
ENSG00000215695	6248	RSC1A1
ENSG00000215905	NA	
ENSG00000215906	646262	LACTBL1
ENSG00000215908	84809	CROCCP2
ENSG00000218510	29092	LINC00339
ENSG00000219073	23436	CELA3B
ENSG00000219481	55672	NBPF1
ENSG00000221216	NA	RNU6ATAC27P
ENSG00000221539	692212	SNORD99
ENSG00000221662	100302276	MIR1290
ENSG00000221808	100302155	MIR1256
ENSG00000223062	NA	RNU6-1245P
ENSG00000223583	NA	
ENSG00000223624	NA	
ENSG00000223643	NA	
ENSG00000224064	NA	RPL32P6
ENSG00000224129	NA	DPPA2P2
ENSG00000224174	NA	
ENSG00000224183	NA	SDHDP6
ENSG00000224311	NA	
